index,Season,ID,overs,BattingTeam,total_run,isWicketDelivery
403,2012,548331,7,Royal Challengers Bangalore,9,0
404,2012,548331,8,Kings XI Punjab,7,1
405,2012,548331,8,Royal Challengers Bangalore,12,0
406,2012,548331,9,Kings XI Punjab,6,0
407,2012,548331,9,Royal Challengers Bangalore,12,0
408,2012,548331,10,Kings XI Punjab,5,0
409,2012,548331,10,Royal Challengers Bangalore,4,0
410,2012,548331,11,Kings XI Punjab,6,0
411,2012,548331,11,Royal Challengers Bangalore,10,0
412,2012,548331,12,Kings XI Punjab,8,0
413,2012,548331,12,Royal Challengers Bangalore,12,0
414,2012,548331,13,Kings XI Punjab,5,1
415,2012,548331,13,Royal Challengers Bangalore,15,0
416,2012,548331,14,Kings XI Punjab,11,1
417,2012,548331,14,Royal Challengers Bangalore,3,0
418,2012,548331,15,Kings XI Punjab,7,0
419,2012,548331,15,Royal Challengers Bangalore,16,0
420,2012,548331,16,Kings XI Punjab,13,0
421,2012,548331,16,Royal Challengers Bangalore,8,0
422,2012,548331,17,Kings XI Punjab,14,0
423,2012,548331,17,Royal Challengers Bangalore,17,1
424,2012,548331,18,Kings XI Punjab,10,0
425,2012,548331,18,Royal Challengers Bangalore,3,1
426,2012,548331,19,Kings XI Punjab,14,1
427,2012,548331,19,Royal Challengers Bangalore,6,0
428,2012,548332,0,Chennai Super Kings,2,0
429,2012,548332,0,Rajasthan Royals,5,0
430,2012,548332,1,Chennai Super Kings,12,0
431,2012,548332,1,Rajasthan Royals,8,0
432,2012,548332,2,Chennai Super Kings,9,0
433,2012,548332,2,Rajasthan Royals,6,0
434,2012,548332,3,Chennai Super Kings,6,0
435,2012,548332,3,Rajasthan Royals,15,0
436,2012,548332,4,Chennai Super Kings,11,0
437,2012,548332,4,Rajasthan Royals,2,1
438,2012,548332,5,Chennai Super Kings,5,0
439,2012,548332,5,Rajasthan Royals,5,0
440,2012,548332,6,Chennai Super Kings,8,0
441,2012,548332,6,Rajasthan Royals,2,0
442,2012,548332,7,Chennai Super Kings,4,1
443,2012,548332,7,Rajasthan Royals,7,1
444,2012,548332,8,Chennai Super Kings,9,0
445,2012,548332,8,Rajasthan Royals,6,0
446,2012,548332,9,Chennai Super Kings,4,0
447,2012,548332,9,Rajasthan Royals,6,0
448,2012,548332,10,Chennai Super Kings,6,0
449,2012,548332,10,Rajasthan Royals,9,0
450,2012,548332,11,Chennai Super Kings,7,0
451,2012,548332,11,Rajasthan Royals,5,0
452,2012,548332,12,Chennai Super Kings,5,0
453,2012,548332,12,Rajasthan Royals,5,0
454,2012,548332,13,Chennai Super Kings,5,0
455,2012,548332,13,Rajasthan Royals,4,0
456,2012,548332,14,Chennai Super Kings,11,0
457,2012,548332,14,Rajasthan Royals,22,0
458,2012,548332,15,Chennai Super Kings,12,0
459,2012,548332,15,Rajasthan Royals,9,0
460,2012,548332,16,Chennai Super Kings,2,2
461,2012,548332,16,Rajasthan Royals,13,0
462,2012,548332,17,Chennai Super Kings,13,0
463,2012,548332,17,Rajasthan Royals,4,0
464,2012,548332,18,Chennai Super Kings,8,0
465,2012,548332,18,Rajasthan Royals,9,1
466,2012,548332,19,Chennai Super Kings,8,0
467,2012,548332,19,Rajasthan Royals,4,1
