index,Season,ID,overs,BattingTeam,total_run,isWicketDelivery,BowlingTeam
276,2012,548328,1,Kings XI Punjab,7,0,Kolkata Knight Riders
277,2012,548328,1,Kolkata Knight Riders,8,0,Kings XI Punjab
278,2012,548328,2,Kings XI Punjab,9,1,Kolkata Knight Riders
279,2012,548328,2,Kolkata Knight Riders,0,0,Kings XI Punjab
280,2012,548328,3,Kings XI Punjab,5,0,Kolkata Knight Riders
281,2012,548328,3,Kolkata Knight Riders,14,0,Kings XI Punjab
282,2012,548328,4,Kings XI Punjab,5,0,Kolkata Knight Riders
283,2012,548328,4,Kolkata Knight Riders,15,0,Kings XI Punjab
284,2012,548328,5,Kings XI Punjab,11,0,Kolkata Knight Riders
285,2012,548328,5,Kolkata Knight Riders,6,1,Kings XI Punjab
286,2012,548328,6,Kings XI Punjab,5,0,Kolkata Knight Riders
287,2012,548328,6,Kolkata Knight Riders,3,0,Kings XI Punjab
288,2012,548328,7,Kings XI Punjab,4,0,Kolkata Knight Riders
289,2012,548328,7,Kolkata Knight Riders,4,0,Kings XI Punjab
290,2012,548328,8,Kings XI Punjab,7,0,Kolkata Knight Riders
291,2012,548328,8,Kolkata Knight Riders,12,0,Kings XI Punjab
292,2012,548328,9,Kings XI Punjab,2,1,Kolkata Knight Riders
293,2012,548328,9,Kolkata Knight Riders,3,1,Kings XI Punjab
294,2012,548328,10,Kings XI Punjab,5,0,Kolkata Knight Riders
295,2012,548328,10,Kolkata Knight Riders,5,0,Kings XI Punjab
296,2012,548328,11,Kings XI Punjab,7,0,Kolkata Knight Riders
297,2012,548328,11,Kolkata Knight Riders,3,0,Kings XI Punjab
298,2012,548328,12,Kings XI Punjab,8,0,Kolkata Knight Riders
299,2012,548328,12,Kolkata Knight Riders,8,0,Kings XI Punjab
300,2012,548328,13,Kings XI Punjab,3,1,Kolkata Knight Riders
301,2012,548328,13,Kolkata Knight Riders,6,0,Kings XI Punjab
302,2012,548328,14,Kings XI Punjab,3,1,Kolkata Knight Riders
303,2012,548328,14,Kolkata Knight Riders,10,0,Kings XI Punjab
304,2012,548328,15,Kings XI Punjab,7,0,Kolkata Knight Riders
305,2012,548328,15,Kolkata Knight Riders,10,0,Kings XI Punjab
306,2012,548328,16,Kings XI Punjab,7,1,Kolkata Knight Riders
307,2012,548328,16,Kolkata Knight Riders,10,0,Kings XI Punjab
308,2012,548328,17,Kings XI Punjab,4,1,Kolkata Knight Riders
309,2012,548328,18,Kings XI Punjab,7,0,Kolkata Knight Riders
310,2012,548328,19,Kings XI Punjab,10,1,Kolkata Knight Riders
311,2012,548329,0,Deccan Chargers,8,0,Delhi Daredevils
312,2012,548329,0,Delhi Daredevils,16,1,Deccan Chargers
313,2012,548329,1,Deccan Chargers,8,0,Delhi Daredevils
314,2012,548329,1,Delhi Daredevils,7,0,Deccan Chargers
315,2012,548329,2,Deccan Chargers,3,0,Delhi Daredevils
316,2012,548329,2,Delhi Daredevils,6,0,Deccan Chargers
317,2012,548329,3,Deccan Chargers,5,0,Delhi Daredevils
318,2012,548329,3,Delhi Daredevils,13,0,Deccan Chargers
319,2012,548329,4,Deccan Chargers,4,1,Delhi Daredevils
320,2012,548329,4,Delhi Daredevils,2,0,Deccan Chargers
321,2012,548329,5,Deccan Chargers,5,1,Delhi Daredevils
322,2012,548329,5,Delhi Daredevils,20,0,Deccan Chargers
323,2012,548329,6,Deccan Chargers,9,0,Delhi Daredevils
324,2012,548329,6,Delhi Daredevils,10,0,Deccan Chargers
325,2012,548329,7,Deccan Chargers,8,0,Delhi Daredevils
326,2012,548329,7,Delhi Daredevils,13,0,Deccan Chargers
327,2012,548329,8,Deccan Chargers,10,0,Delhi Daredevils
328,2012,548329,8,Delhi Daredevils,15,0,Deccan Chargers
329,2012,548329,9,Deccan Chargers,4,0,Delhi Daredevils
330,2012,548329,9,Delhi Daredevils,10,0,Deccan Chargers
331,2012,548329,10,Deccan Chargers,6,0,Delhi Daredevils
332,2012,548329,10,Delhi Daredevils,12,0,Deccan Chargers
333,2012,548329,11,Deccan Chargers,15,0,Delhi Daredevils
334,2012,548329,11,Delhi Daredevils,5,0,Deccan Chargers
335,2012,548329,12,Deccan Chargers,16,0,Delhi Daredevils
336,2012,548329,12,Delhi Daredevils,9,0,Deccan Chargers
337,2012,548329,13,Deccan Chargers,11,0,Delhi Daredevils
338,2012,548329,13,Delhi Daredevils,16,0,Deccan Chargers
339,2012,548329,14,Deccan Chargers,15,0,Delhi Daredevils
340,2012,548329,14,Delhi Daredevils,13,0,Deccan Chargers
341,2012,548329,15,Deccan Chargers,13,0,Delhi Daredevils
342,2012,548329,15,Delhi Daredevils,16,0,Deccan Chargers
343,2012,548329,16,Deccan Chargers,17,0,Delhi Daredevils
344,2012,548329,16,Delhi Daredevils,10,0,Deccan Chargers
345,2012,548329,17,Deccan Chargers,13,1,Delhi Daredevils
346,2012,548329,18,Deccan Chargers,8,0,Delhi Daredevils
347,2012,548329,19,Deccan Chargers,9,1,Delhi Daredevils
348,2012,548330,0,Chennai Super Kings,6,0,Pune Warriors
349,2012,548330,0,Pune Warriors,9,0,Chennai Super Kings
350,2012,548330,1,Chennai Super Kings,2,0,Pune Warriors
351,2012,548330,1,Pune Warriors,6,1,Chennai Super Kings
352,2012,548330,2,Chennai Super Kings,1,0,Pune Warriors
353,2012,548330,2,Pune Warriors,7,0,Chennai Super Kings
354,2012,548330,3,Chennai Super Kings,8,0,Pune Warriors
355,2012,548330,3,Pune Warriors,4,1,Chennai Super Kings
356,2012,548330,4,Chennai Super Kings,11,0,Pune Warriors
