Season,ID,overs,BattingTeam,total_run
2012,548330,18,Chennai Super Kings,9
2012,548330,18,Pune Warriors,4
2012,548330,19,Chennai Super Kings,18
2012,548330,19,Pune Warriors,7
2012,548331,0,Kings XI Punjab,3
2012,548331,0,Royal Challengers Bangalore,3
2012,548331,1,Kings XI Punjab,7
2012,548331,1,Royal Challengers Bangalore,5
2012,548331,2,Kings XI Punjab,5
2012,548331,2,Royal Challengers Bangalore,9
2012,548331,3,Kings XI Punjab,5
2012,548331,3,Royal Challengers Bangalore,1
2012,548331,4,Kings XI Punjab,7
2012,548331,4,Royal Challengers Bangalore,7
2012,548331,5,Kings XI Punjab,14
2012,548331,5,Royal Challengers Bangalore,11
2012,548331,6,Kings XI Punjab,10
2012,548331,6,Royal Challengers Bangalore,3
2012,548331,7,Kings XI Punjab,6
2012,548331,7,Royal Challengers Bangalore,9
2012,548331,8,Kings XI Punjab,7
2012,548331,8,Royal Challengers Bangalore,12
2012,548331,9,Kings XI Punjab,6
2012,548331,9,Royal Challengers Bangalore,12
2012,548331,10,Kings XI Punjab,5
2012,548331,10,Royal Challengers Bangalore,4
2012,548331,11,Kings XI Punjab,6
2012,548331,11,Royal Challengers Bangalore,10
2012,548331,12,Kings XI Punjab,8
2012,548331,12,Royal Challengers Bangalore,12
2012,548331,13,Kings XI Punjab,5
2012,548331,13,Royal Challengers Bangalore,15
2012,548331,14,Kings XI Punjab,11
2012,548331,14,Royal Challengers Bangalore,3
2012,548331,15,Kings XI Punjab,7
2012,548331,15,Royal Challengers Bangalore,16
2012,548331,16,Kings XI Punjab,13
2012,548331,16,Royal Challengers Bangalore,8
2012,548331,17,Kings XI Punjab,14
2012,548331,17,Royal Challengers Bangalore,17
2012,548331,18,Kings XI Punjab,10
2012,548331,18,Royal Challengers Bangalore,3
2012,548331,19,Kings XI Punjab,14
2012,548331,19,Royal Challengers Bangalore,6
2012,548332,0,Chennai Super Kings,2
2012,548332,0,Rajasthan Royals,5
